property_name,address,borough,property_type,sqft,classification,has_steam_cooling,has_electric_cooling,has_monthly_data,steam_intensity,heating_baseline,steam_ratio_vs_baseline,steam_pct_of_total,summer_elec_increase_pct,cooling_intensity_kbtu_sqft,cooling_pct_of_elec,peak_month_cooling_kw,avg_summer_cooling_kw,num_cooling_towers,district_steam_kbtu,elec_kwh,bbl,bin,latitude,longitude
NH 122 East 76th Street,122 East 76th Street,MANHATTAN,Medical Office,67500,BOTH,True,True,True,52.9,14.5,3.65,75.7,62.3,2.1,12.2,71,43,0,3570060,333380,1-01410-0064,1043155,40.773308,-73.961051
DEPM 2580 - 161 East 79th St,159 East 79 Street,MANHATTAN,Multifamily Housing,59093,BOTH,True,True,True,47.2,30.8,1.53,73.7,81.6,2.9,17.7,71,52,0,2789255,279247,1015080024,1047472,40.774742,-73.958356
21 East 79th St,21 E. 79TH ST.,MANHATTAN,Multifamily Housing,55000,BOTH,True,True,True,55.2,30.8,1.79,72.9,67.4,2.7,13.7,70,42,0,3034944,317968,1014910012,1046432,40.77661,-73.962782
M058 (OECID: 0100069; BBL: 1010430022),317 West 52nd Street,MANHATTAN,K-12 School,64480,BOTH,True,True,True,46.4,29.0,1.6,72.7,66.6,2.7,15.5,70,56,0,2992164,330100,1010430022,1025241,40.763855,-73.985907
Brookdale Residence Hall,50 E 34th St,MANHATTAN,Residence Hall/Dormitory,87550,BOTH,True,True,True,55.6,34.2,1.63,75.0,40.0,1.3,6.8,69,37,1,4868881,451673,1-00863-0053,1017088,40.747584,-73.98255
71 Park Avenue,71 PARK AVE.,MANHATTAN,Multifamily Housing,52593,BOTH,True,True,True,66.7,30.8,2.17,79.0,81.4,2.4,14.5,68,42,0,3506790,258643,1008947503,1019123,40.749815,-73.979338
3 West 57 Street,3 West 57 Street,MANHATTAN,Office,58001,BOTH,True,True,True,27.5,14.0,1.97,62.9,69.5,2.0,12.6,64,39,1,1597799,275951,1012730031,1035073,40.763197,-73.974496
St. Vartan - 630 Second Avenue,622 2 Avenue,MANHATTAN,Worship Facility,85357,BOTH,True,True,True,44.8,24.1,1.86,72.8,51.1,1.5,11.5,57,42,1,3819928,324372,1009400001,1081682,40.744876,-73.975799
36 East 72nd St (34 East 72nd),36 E. 72ND ST.,MANHATTAN,Multifamily Housing,64000,BOTH,True,True,True,47.5,30.8,1.54,73.7,47.5,1.0,6.4,53,21,0,3036879,300599,1013860046,1041367,40.771618,-73.965066
The Door - 121 Ave of the Americas,121 Ave of the Americas,MANHATTAN,Office,84365,BOTH,True,True,True,26.7,14.0,1.91,47.4,18.6,1.3,4.8,42,31,0,2250892,642745,1004777501,1083493,40.723903,-74.00469
57 Worth Street,57 Worth Street,MANHATTAN,Office,60610,BOTH,True,True,True,52.6,14.0,3.77,65.3,22.6,1.5,5.4,39,19,0,3190927,496435,1001760001,1001957,40.717173,-74.006443
The General Society Building,20 West 44th Street,MANHATTAN,Office,67132,BOTH,True,True,True,32.4,14.0,2.32,80.0,62.5,1.1,13.3,32,17,0,2174346,159129,1-01259-0048,1034214,40.755156,-73.980848
